row_id,intervention,image_id,image_path,target_phrase,target_box,other_regions,tplus,edited_caption,target_change_valid,controls_preserved,grammar_acceptable,audit_decision,reviewer,notes
6a29e8f9226885080e134188,tmatched,7046014201,pilot/data/images/7046014201.jpg,a Unicycle,"[221, 290, 264, 424]","[{""id"": ""264592"", ""box"": [352, 266, 435, 453], ""phrase"": ""a little girl""}]",A juggler on a Unicycle throwing red pins in the air with a little girl next to him dancing in a crowd of onlookers .,A juggler on a vehicle throwing red pins in the air with a little girl next to him dancing in a crowd of onlookers .,yes,yes,yes,valid,Codex visual review (not human),Visual review: target is visible and the edit passes the stated checks.
b13ab7e551668bcf2e520eb7,tmatched,7046014201,pilot/data/images/7046014201.jpg,a little girl,"[352, 266, 435, 453]","[{""id"": ""264588"", ""box"": [172, 198, 278, 412], ""phrase"": ""A juggler""}, {""id"": ""264589"", ""box"": [221, 290, 264, 424], ""phrase"": ""a Unicycle""}]",A juggler on a Unicycle throwing red pins in the air with a little girl next to him dancing in a crowd of onlookers .,A juggler on a Unicycle throwing red pins in the air with a unspecified person next to him dancing in a crowd of onlookers .,yes,yes,no,invalid,Codex visual review (not human),Malformed article: “a unspecified person”.
9669fbcd66e26f8e1336f286,tmatched,3311724634,pilot/data/images/3311724634.jpg,A woman,"[234, 112, 357, 375]","[{""id"": ""108566"", ""box"": [4, 83, 193, 375], ""phrase"": ""a guy""}, {""id"": ""108569"", ""box"": [100, 110, 129, 142], ""phrase"": ""a microphone""}, {""id"": ""108571"", ""box"": [369, 141, 478, 375], ""phrase"": ""a man""}, {""id"": ""108574"", ""box"": [407, 146, 445, 195], ""phrase"": ""clown makeup""}]","A woman is holding a toy snake , she is on stage with a guy speaking through a microphone , and a man in clown makeup holding a guitar .","A person is holding a toy snake , she is on stage with a guy speaking through a microphone , and a man in clown makeup holding a guitar .",yes,yes,yes,valid,Codex visual review (not human),Visual review: target is visible and the edit passes the stated checks.
15fcb08a40ec39560f905a3d,tminus,2667242810,pilot/data/images/2667242810.jpg,a boy,"[239, 165, 362, 311]","[{""id"": ""65122"", ""box"": [413, 198, 481, 251], ""phrase"": ""one piece of wood""}]","A man in a white shirt hammers one piece of wood while a boy in a black , white and orange hat looks at another piece of wood .","A man in a white shirt hammers one piece of wood while in a black , white and orange hat looks at another piece of wood .",yes,yes,no,invalid,Codex visual review (not human),"Deleting the noun leaves a dangling “while in a black, white …” phrase."
a4415f7a3e37f9e3e733ec9e,tminus,314800643,pilot/data/images/314800643.jpg,a gray shirt,"[299, 129, 391, 230]","[{""id"": ""96604"", ""box"": [164, 163, 208, 267], ""phrase"": ""a girl""}, {""id"": ""96605"", ""box"": [165, 182, 206, 225], ""phrase"": ""a blue sweatshirt""}]",A man in a gray shirt looks past the camera while a girl in a blue sweatshirt sits behind him to his left .,A man in looks past the camera while a girl in a blue sweatshirt sits behind him to his left .,yes,yes,no,invalid,Codex visual review (not human),Deletion yields “A man in looks …”.
13d9cd965c60a769604c8f6f,tminus,313385842,pilot/data/images/313385842.jpg,black shorts,"[279, 251, 332, 297]","[{""id"": ""95784"", ""box"": [163, 151, 221, 371], ""phrase"": ""A man""}, {""id"": ""95793"", ""box"": [165, 175, 217, 264], ""phrase"": ""a black t-shirt""}, {""id"": ""95794"", ""box"": [174, 147, 215, 175], ""phrase"": ""black baseball cap""}]","A man dressed in black shorts , a black t-shirt , and a backwards black baseball cap is talking to a man wearing a striped shirt and shorts while standing behind a truck .","A man dressed in , a black t-shirt , and a backwards black baseball cap is talking to a man wearing a striped shirt and shorts while standing behind a truck .",yes,yes,no,invalid,Codex visual review (not human),Deletion leaves an empty clothing-list slot.
5f4b80f83e80b9ed9163bb9f,tnatural,72010346,pilot/data/images/72010346.jpg,a pink shirt,"[177, 188, 316, 439]","[{""id"": ""267060"", ""box"": [44, 61, 142, 182], ""phrase"": ""one another 's head""}]",A man in a white shirt and a woman in a pink shirt touching one another 's head .,A happy duo embraces in front of a computer .,yes,no,yes,invalid,Codex visual review (not human),Natural caption drops the head-touching relation and changes control coverage.
7a2d36c36a5728179d1edb92,tnatural,3403263046,pilot/data/images/3403263046.jpg,a basketball,"[0, 366, 120, 500]","[{""id"": ""115794"", ""box"": [176, 197, 333, 480], ""phrase"": ""a red uniform""}, {""id"": ""115792"", ""box"": [74, 141, 332, 270], ""phrase"": ""an arm""}]",A female basketball player wearing a red uniform is holding a basketball and looking up while an arm is trying to block her .,A woman basketball player holding the ball grimaces with effort while another player 's arm attempts to block her .,no,no,yes,invalid,Codex visual review (not human),Basketball remains explicit; red-uniform control is omitted.
e9431abb7c9c887067317a55,tnatural,434932657,pilot/data/images/434932657.jpg,another man,"[383, 67, 458, 317]","[{""id"": ""164280"", ""box"": [198, 3, 345, 343], ""phrase"": ""A cowboy""}, {""id"": ""164281"", ""box"": [196, 42, 273, 83], ""phrase"": ""a black hat""}, {""id"": ""164289"", ""box"": [121, 130, 346, 314], ""phrase"": ""black pant""}]","A cowboy with a black hat , blue vest and black pant riding a bucking bull with another man standing in the background for safety of the cowboy .","A cowboy in a blue vest is riding a brahma bull , a man in a multicolored shirt is standing in the background .",no,no,yes,invalid,Codex visual review (not human),Target man remains explicit and several controls change.
aea6712c79e339dbb45050fc,tmatched,3422458549,pilot/data/images/3422458549.jpg,a ball,"[55, 296, 102, 341]","[{""id"": ""117056"", ""box"": [163, 111, 389, 399], ""phrase"": ""an orange outfit""}]",A tennis player in an orange outfit hits a ball .,A tennis player in an orange outfit hits a thing .,yes,yes,yes,valid,Codex visual review (not human),Visual review: target is visible and the edit passes the stated checks.
